タイムスタンプ,あなたの名前を入れてください（ハンドルネーム）,いつ,どこで（「で」まで入れてください）,だれが（「が」まで入れてください）,なにをした
2024/04/14 20:24:03,A,終末,神社で,少年少女が,道を歩いた
2024/04/14 20:24:24,B,真夜中に,誰もいない公園で,二足歩行の三毛猫が,肉まんを食べた
2024/04/14 20:24:28,C,この間,大学で,自分が,寝た
2024/04/14 20:24:57,D,１００年前,横浜で,インド人が,ハンドルを右にした
2024/04/14 20:25:01,E,新年,ソラマチで,松前重義が,出現した
2024/04/14 20:25:11,F,今,自宅で,阿部寛が,風呂に入った
2024/04/14 20:25:13,G,宇宙が誕生した時,布団の中で,女子高校生が,スマホをいじっていた
2024/04/14 20:25:28,H,2024年1月1日に,コンビニで,おっさん三人組が,宴会した
2024/04/14 20:25:50,I,２２２２年,皇居の敷地内で,どるぱさんが,ボカロ曲を熱唱した
2024/04/14 20:26:18,J,3世紀前,魔界の最深部で,幻月が,発狂した
2024/04/14 20:28:38,K,デジ創創設の翌日,品川キャンパスで,温泉むすめの河口湖多佳美が,進化した
2024/04/14 20:29:54,L,昨日,湘南キャンパスで,ピカチュウが,が戦っていた
2024/04/14 20:30:12,M,そう遠くない未来,浮遊都市SAGAで,ネヴィル・シュートが,兵器を作った
2024/04/14 20:31:46,N,春の日の午後,古びた喫茶店で,一流のバリスタが,コーヒーを淹れてもらった
2024/04/14 20:31:48,O,遠い昔,遥か彼方の銀河系で,貴方の推しが,秒速⑨万キロで飛び立った
2024/04/14 20:32:05,P,聖パトリックの祝日に,イカルドの家で,スポンジボブが,手袋を縫っていた
2024/04/14 20:32:28,Q,極寒の冬,シベリアで,大谷翔平が,ギャンブルで有り金を溶かした
2024/04/14 20:32:50,R,白亜紀に,焼肉屋で,デジ創マン(デジ創アイコンを被った謎の男)が,踊った
2024/04/14 20:32:54,S,時は大海賊時代,ランゲルハンス島にて,ジェイ・ミン(水原一平)が,泣いた
2024/04/14 20:32:56,T,小学校時代,東京ビッグサイトで,イーロン・マスクが,初音ミクのコスプレをした
2024/04/14 20:33:02,U,地球最後の日,ナメック星で,福山 雅治が,愛を知った
2024/04/14 20:33:22,V,たった今,森の奥で,名もなき男が,転んだ
2024/04/14 20:33:29,W,20年くらい前,崖で,コダック（ポケモン）が,頭を抱えた
2024/04/14 20:33:39,X,夏休みに,バス停で,女子高生が,雨宿りをした
2024/04/14 20:33:56,Y,1700年,沖縄県で,けんけつちゃんが,警備のバイトをした。
